x,y,Name,OBJECTID,CODE,LMV,LCV,HMV,TOTAL,AREA_LOT
72.835848,19.0139942,M/S PSK Developers Pvt. Ltd.,80,C-12,212,0,0,212,10568.62
72.8189418,18.9983713,M/S Hilton Infrastructure,81,C-44,220,112,0,332,
72.831956,19.0651161,M/S Meeti Developers Pvt. Ltd.,82,W-53,142,0,0,142,7072.38
72.8279502,18.976766,M/S Reliable Enterprises,83,C-23,108,72,0,180,
72.9594266,19.1768968,M/S nirmal Lifestyle,84,E-7,749,0,136,885,53770
72.8479501,19.2396647,M/S Vinita Estate,85,W-14,168,26,0,194,
72.9435973,19.1706938,Marathon (Chhaganlal Khimji),86,E-3,440,,,,22000
72.9525028,19.16951,M/S Dura Tech,87,E-2,192,,,192,9600
72.936941,19.166235,M/S Nirmal Lifestyle,88,E-8,1218,0,465,1683,116700
72.831792,18.9725172,M/S Swayam Realtors & Traders PPL,89,C-54,1280,0,0,1280,64000
72.9435973,19.1706938,Marathon (Chhaganlal Khimji),90,E-3,440,,,,22000
72.9525028,19.16951,M/S Dura Tech,91,E-2,192,,,192,9600
72.936941,19.166235,M/S Nirmal Lifestyle,92,E-8,1218,0,465,1683,116700
72.871068,19.131942,park_spot,93,,,,,,
72.830237,19.13889,park_spot,94,,,,,,
72.813669,19.140929,park_spot,95,,,,,,
